,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
1788,PM4175578,0122_0025,311WC-Courtyard Washington DC/Foggy Bott,2016,In Compliance,0515 20TH ST NW,ALL STATES HOTEL COMPANY LLC,2,WASHINGTON,DC,20006,2012,Hotel,Hotel,79875,79875.0,22,118.4,118.9,287.7,285.9,886.7,11.1,6063.0,1829291.8,32185.00032,38.89653488,-77.04469019,
1791,PM1483327,0037_0854,"5659-The Westin Grand, Washington DC",2016,In Compliance,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,WASHINGTON,DC,20037,1984,Hotel,Hotel,219252,193239.0,25,108.4,109.8,293.8,298.3,2136.8,11.1,14228.0,4876130.6,43079.00115,38.90497948,-77.05109698,
1792,PM3852985,0646_0802,Capitol Skyline Hotel,2016,In Compliance,0010 I ST SW,SOUTH CAPITOL HOLDINGS LLC,6,WASHINGTON,DC,20024,1962,Hotel,Hotel,171867,105000.0,18,151.5,152.2,295.1,294.6,1265.4,12.1,7304.9,2002825.1,90698.58316000001,38.8790328,-77.00973245,
1795,PM3507508,0225_0033,The Willard Hotel & Office Building,2016,In Compliance,1401 - 1415 PENNSYLVANIA AV NW,WILLARD ASSOCIATES,2,WASHINGTON,DC,20004,1986,Hotel,Hotel,349863,628106.0,31,119.4,119.7,300.8,301.1,7229.7,11.5,44293.9,15451031.8,222900.9134,38.89716073,-77.03226635,
1800,PM3402383,0219_0018,Sofitel Washington DC,2016,In Compliance,806 15TH ST NW,H STREET SHUFFLE LC,2,WASHINGTON,DC,20005,1928,Hotel,Hotel,177323,172519.0,18,141.5,142.8,308.5,308.0,2109.2,12.2,12110.0,3869674.4,112027.0021,38.90051342,-77.03399018,
1803,PM3736457,0493_0805,Holiday Inn Capitol,2016,In Compliance,0550 C ST SW,FEDERAL CENTER HOTEL ASSOCIATES,6,WASHINGTON,DC,20024,1980,Hotel,Hotel,439048,279396.0,17,128.7,128.5,316.1,315.5,3398.8,12.2,8938.5,7090036.2,117583.4007,38.88564083,-77.01962878,
1806,PM3514785,0024_0870,"Fairmont Washington, D.C., Georgetown",2016,In Compliance,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,WASHINGTON,DC,20037,1985,Hotel,Hotel,458211,411396.0,14,130.7,130.7,326.1,326.1,5144.9,12.5,27141.7,10891566.6,166277.6632,38.90555725,-77.05177644,
1815,PM4458409,0135_0004,The Dupont Circle Hotel,2016,In Compliance,1500 NEW HAMPSHIRE AVE NW,DOYLE DUPONT LLC,2,WASHINGTON,DC,20036,1947,Hotel,Hotel,192274,157000.0,10,191.6,194.2,401.1,401.6,2522.3,16.1,7301.2,4400283.4,150715.0982,38.91047762,-77.04309489,
1828,PM3991736,0182_0084,The Jefferson Hotel,2016,Data Under Review by DOEE,1200 16TH ST NW,DC CAP HOTELIER LLC,2,WASHINGTON,DC,20036,1922,Hotel,Hotel,76254,76254.0,1,273.2,275.8,584.0,583.1,1774.0,23.3,5667.5,3177014.4,99953.4893,38.90594573,-77.03695807,
1914,PM3499931,0081_0096,State Plaza Hotel,2015,In Compliance,2117 E ST NW,SHERRY TOWERS APARTMENT HOTEL LP,2,Washington,DC,20037,1955,Hotel,Hotel,94139,291819.0,95,43.0,42.4,89.3,87.4,1164.3,4.0,5507.9,1808782.5,63658.996139999996,38.89638955,-77.04750319,
