Primary_Property_Type_EPA_Calculated,Weather_Normalized_Site_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e
Office,82.1,193.8,470.7
Office,61.4,192.6,1831.3
Office,62.6,196.4,689.5
Office,61.5,193,609.5
Multifamily Housing,139.3,206,1645.3
Office,67.7,192.7,1844.2
Office,84.6,195.8,896.6
Senior Care Community,108.9,193.3,1287.3
Office,62.8,193.4,4627.1
Hotel,75.2,191.6,972.6
Office,63.1,198.2,1854.5
Office,62.9,197.5,922.1
Office,61.8,194.1,4051.3
Office,61.9,194.3,2188.4
Office,62.2,195.4,1121.1
Office,62,194.6,3006
Office,62.7,196.8,1352.4
Office,74.4,233.7,1180.7
Multifamily Housing,105.5,198.9,792.4
Office,62.3,195.5,1786.9
Multifamily Housing,59.9,188,385.8
Office,62.4,195.8,1710.3
Hotel,91.7,196.8,647.1
Hotel,88,192.5,469.6
Office,77.6,197.2,5435.2
Office,65.3,196.5,1920.3
Hotel,91.2,196,829
Office,73.2,196.7,426.3
Office,62.8,197.2,1182.4
Hotel,82.2,199.1,2127
Office,98.5,195.8,405.4
Multifamily Housing,132.4,206.2,2336
Office,63,197.9,1442.2
Office,64.2,201.5,731.7
Office,64.5,202.6,2146.4
Office,85.3,201.1,422.8
Office,80.2,200.1,1346.6
Hotel,90,198.7,787.7
Office,63.6,199.6,579.4
Office,76,200.6,452.4
Office,63.9,200.7,2599.3
Hotel,78.3,199,974.5
Senior Care Community,93.8,207.8,554.6
Hotel,112.8,205.2,2060.2
Office,65.1,201.7,4598.5
Office,64.3,201.8,6328.7
Residence Hall/Dormitory,84.1,200.1,2156.2
Hotel,99.4,200.9,7936.4
Office,64.5,202.5,5641.5
Multifamily Housing,137.1,215.5,1584.5
Office,66.2,203.4,1268.9
Hotel,85.4,203.5,451.4
Office,65,204,2491.4
Office,67.4,204.9,2502
Office,66,204.7,1402.8
Office,66.4,208.4,3735.3
K-12 School,71.8,206.6,626.6
K-12 School,95.6,205.9,570.7
Multifamily Housing,74.9,206.6,3814.4
Office,80.5,210.5,567.2
Office,67.1,210.8,338.6
Office,65.9,206.8,2147.6
Office,78.6,207.4,52.7
Office,67.7,212.6,1906.4
Office,74.2,207.6,469.3
Office,89,209.6,501.4
Office,67.7,212.5,505.6
Office,67.3,208.8,4004.4
Office,68.8,216,1533.1
Office,80.9,210.1,786.3
Office,90.1,213.8,513.5
Office,67.7,212.7,2104.3
Hotel,96.5,212.4,7729.1
Office,67.1,210.6,1189.3
Office,67.1,210.7,1378.4
Office,67.3,211.5,2228.9
Office,95.1,214.8,1789
Office,69,212,2944.5
Hotel,120.4,214.3,659.9
Office,67.8,212.9,3965.7
Office,67.8,212.9,700.8
Office,68,213.5,2877.1
Office,68.6,215.3,913.3
Office,68,213.5,3827.3
Office,95.5,215.4,1424.8
Hotel,103.2,218.3,1821.4
Office,74.7,215.5,714.3
Office,70.6,220.3,1639.7
Office,73.1,214,2347.7
Hotel,105.8,219.8,2785.4
Office,68.9,216.2,1978.6
Office,68.9,216.5,1743.7
Multifamily Housing,150.3,229.4,356.9
Hotel,104.4,219.3,926.7
Multifamily Housing,97.2,221.7,557.7
Office,72.2,217.1,1593.1
Office,80.8,214.6,609.6
Hotel,92.2,216.1,492.5
Office,69.7,218.8,3201
Office,71.1,222.4,1865.1
Office,69.8,219.3,429.8
Office,70.9,222.5,901
Office,69.9,219.6,927.6
K-12 School,85.5,221,367.7
Multifamily Housing,143,220.4,2935.6
Office,100.6,222.3,432.5
Office,71,222.9,1443.9
Office,71.5,221.6,1292.3
Office,70.6,221.6,881.9
Hotel,88,225.8,2259.6
Multifamily Housing,117.5,221.7,1763.3
Residence Hall/Dormitory,102.3,221.9,1193.5
Office,72,226.1,663.5
Hotel,92.1,223.8,6861.9
Hotel,109.8,226.5,1724.6
Office,70.9,222.7,2030.8
Office,71.2,220.1,1410.7
Office,95.9,227.5,560.7
Hotel,98.6,226.1,589.7
Office,71.4,224.3,1766.1
Office,73.5,230.7,2785.1
Office,71.5,224.6,1017.5
Office,71.7,224.8,504.5
Office,72,226,660.1
Office,83.6,229.1,569.4
Office,72.2,226.7,1311.2
Office,73.8,231.8,1356.2
Office,95.4,230,4159.8
Hotel,101.6,227.4,869.3
Medical Office,72.5,227.6,501.8
Office,72.6,227.9,946.2
Hotel,111.7,236.6,848.1
Residence Hall/Dormitory,123.8,226.9,2104.2
Office,74.5,233.9,613.1
Office,77.5,229.9,1185.9
Office,86.5,229.3,711.8
Multifamily Housing,143.9,239.6,973.5
Office,73.1,229.4,1720
Office,73.1,229.5,4284.9
Hospital (General Medical & Surgical),73.2,229.8,5784.7
Office,75,235.6,614.6
Office,79.8,233.4,655.6
Office,75.9,238.2,722.7
Office,114.8,242.3,805.5
Office,76.3,239.7,356.3
Office,77.8,232,1646
Office,89.8,234,1321.4
Office,98.9,238,1553.9
Office,75.1,235.7,632.6
Multifamily Housing,90.4,236.5,1053.1
Office,75.4,236.8,5466.9
Office,75.9,238.4,1060.8
Residence Hall/Dormitory,122.7,238.2,2040.5
Hotel,99.6,243.3,1354.1
Office,76.4,239.9,2237.4
Worship Facility,102.8,239.3,2049.9
Multifamily Housing,160.1,245.7,2311.2
Hotel,122.7,242.9,12401.2
Office,87.1,243.9,1120.6
Office,82.4,255.8,1777.5
Hotel,114.6,244.5,2503.6
Hotel,106.7,242.4,4754.5
Medical Office,89.5,246.7,1026.1
Hotel,127,246.7,1260.1
Hotel,105.9,244.9,10095.2
Office,91.4,249.5,1321
Office,82,249.8,2291.9
Office,79.7,250.3,2394.4
Office,79.8,250.5,1370.2
Office,80.7,250.7,3088.3
Office,104,257.3,3065.1
Office,88.5,254.5,928.8
Office,80.8,253.6,3786.8
Multifamily Housing,175,266.7,149.6
Residence Hall/Dormitory,109.8,251.1,718.5
Office,83.4,261.7,1958.9
Hotel,108.8,257.2,1000.5
Mixed Use Property,82.3,258.3,4998.4
Senior Care Community,133.3,252.6,1156.4
Hotel,115.9,258.3,587.8
Hotel,142,259.4,1092.2
Financial Office,80.9,253.9,814.3
Office,81.4,255.5,3048
Office,81.8,256.9,1903.5
Office,82.1,257.8,571.9
Office,82.3,258.5,2230.8
Hotel,104.8,260,892.5
Multifamily Housing,158.8,267.6,1239
Office,81,254.2,1705.4
Office,94.4,262,3178
Hotel,99.9,265.9,1842.2
Hotel,105.7,265.6,1073.7
Hotel,149.8,262.6,583.9
Office,83.6,262.5,1388.3
Office,83.7,262.7,2401.3
Hotel,152.5,262.9,1567.4
Office,83.8,263.3,3405.5
Office,84,263.6,2115.5
Hotel,126.6,267.6,4714.2
Office,84,263.7,1608.7
Hotel,139.3,266.6,6655.9
Hotel,128.9,268.5,1041.4
Multifamily Housing,89,264.3,3774.7
Hotel,107.4,268.2,547.8
Office,106.5,266.7,2353.3
Multifamily Housing,95.8,271.2,1728
Office,110.7,275.8,557.8
Hospital (General Medical & Surgical),117.9,277.1,741
Hotel,122.9,280.6,3011.2
Hotel,113.8,273.5,4239
Office,89.3,280.5,618.9
Office,90.2,283.2,952.5
Office,90.1,283,1955.8
Office,88.3,277.4,764.4
Office,90.3,283.4,1893.7
Office,88.5,277.9,1051.3
Office,94.7,278.3,2502.9
Office,89.2,280.2,3262.2
Office,88.7,278.5,1606.4
Multifamily Housing,187.8,295.9,767.6
Office,101.8,285,3078.1
Hotel,123.4,283.6,941.6
Office,91.7,288.1,3488.5
Hotel,123.3,289,870.9
Office,92.5,290.5,903.1
Medical Office,114.5,294.4,951.2
Office,93.4,293.4,714
Hotel,142.2,309,2966
Office,95.9,295.5,787.6
Office,114.3,301.4,2404.7
Office,94.4,296.5,766.5
Office,95.1,298.6,539.6
Office,98.7,310,1165.1
Office,97.2,304.2,969.3
Hotel,125.6,310.2,3207.8
Retail Store,114.5,308.5,1340.1
Senior Care Community,157.7,318.9,1017
Office,107,312.6,1351.8
Hotel,146.9,317.4,2115.8
Office,102.7,322.6,3474.3
Supermarket/Grocery Store,147.8,330,851.5
Office,116.1,332.8,971.4
Office,139.4,331.4,1104.7
Wholesale Club/Supercenter,128.3,335.2,1291.7
Office,140.5,340.6,694.2
Office,115.6,336.4,1736.5
Office,108.7,341.5,2472.3
Supermarket/Grocery Store,155.7,347.2,846.3
Office,109.3,341.8,2190.9
Multifamily Housing,125.7,346.7,4157.5
Hotel,148.7,348.4,1406.7
Office,111.5,350,2542.2
Office,116.8,364.6,3254.8
Medical Office,154.5,372.6,1847.6
Wholesale Club/Supercenter,165.2,378.6,2291.6
Senior Care Community,190.4,389.6,959.6
Office,124,389.2,709.7
Office,130.2,408.9,1758.6
Senior Care Community,200.1,422.4,812
Hospital (General Medical & Surgical),198,429.1,1894.4
Office,139.2,437.1,1013.3
Hotel,188.3,454,6902.3
Office,144.8,454.7,10507.2
Supermarket/Grocery Store,184,472.4,915.2
Office,152.6,464.9,3306.8
Multifamily Housing,212.6,491.9,930.1
Mixed Use Property,214.3,551.9,1306.3
Supermarket/Grocery Store,205.2,566.9,866.8
Hotel,264.2,569.4,1667.9
Hospital (General Medical & Surgical),275,572.5,32870.2
Supermarket/Grocery Store,188.7,590.8,1483.9
Office,189.2,592.1,7601.8
Supermarket/Grocery Store,224.7,593.9,1124.9
Office,193.5,607.6,2576.7
Hospital (General Medical & Surgical),300,675.9,11740.8
Office,216.9,681.1,1340.1
Supermarket/Grocery Store,281.2,711,878.7
Office,235.3,738.8,4241.6
Office,245.9,772,2590.1
Office,246.2,773.2,2183.8
Multifamily Housing,327.1,804.4,1830.1
K-12 School,554.1,874.3,226.2
Supermarket/Grocery Store,266.9,838.1,1170
Office,330.6,896.1,5755.3
Office,365.9,1148.8,4973.7
Office,379.2,1190.7,11605.6
Office,575.7,1807.6,4929.2
Office,978.4,3072.3,6125.2
Non-Refrigerated Warehouse,0.8,2.7,5.2
Multifamily Housing,3.9,9.2,83.6
Residence Hall/Dormitory,15.2,16,65.3
Non-Refrigerated Warehouse,12,17.4,53.5
Multifamily Housing,12.4,20,30.3
Non-Refrigerated Warehouse,7.4,23.2,42.2
Multifamily Housing,11.6,31.8,67.7
Non-Refrigerated Warehouse,11.4,35.9,133.6
Multifamily Housing,11.7,36.8,438.4
Multifamily Housing,12.9,35.3,76.1
Multifamily Housing,20.7,40,170.2
Multifamily Housing,18.1,43.1,659.4
K-12 School,13.9,42.2,103.7
Office,15.1,47.6,826.6
Multifamily Housing,27.5,49.1,466.5
Office,17.1,53.8,217
Multifamily Housing,41.6,57.9,124.5
Multifamily Housing,38.8,57.9,591.8
Office,18.9,59.4,160
Multifamily Housing,45.4,62,136.3
Multifamily Housing,25.6,60.2,127.7
Multifamily Housing,43.6,61.5,232.6
Multifamily Housing,20,62.9,249
Multifamily Housing,47.7,64.3,570.9
Multifamily Housing,20.3,62.1,124.3
Multifamily Housing,20.5,64.5,367.5
Multifamily Housing,29.9,64.9,155.2
Office,26.6,66.4,186.3
Multifamily Housing,24.8,66.3,552.5
Non-Refrigerated Warehouse,27.1,66.1,619.7
Multifamily Housing,47.9,67.8,172.5
Multifamily Housing,27.5,66.8,178.3
Multifamily Housing,44.9,67.7,178.6
Non-Refrigerated Warehouse,34.8,69.1,242.8
Multifamily Housing,33.9,68.7,331.1
Multifamily Housing,43,69.7,361
Non-Refrigerated Warehouse,35.1,69,158.5
Multifamily Housing,22.2,69.6,1090.7
Worship Facility,21.7,68.2,134.4
Non-Refrigerated Warehouse,32.7,73.4,454.5
Multifamily Housing,25.5,70.7,235.8
Office,23.2,72.9,739.9
Worship Facility,44.8,77.4,186
Multifamily Housing,32.3,74.7,149.4
Office,26.7,74.9,384.7
Multifamily Housing,39.2,74.7,273.3
Multifamily Housing,49.1,74,179
Multifamily Housing,50.3,77,169.6
Multifamily Housing,44.2,76.9,211.2
Office,29.1,78.4,565
Office,27.7,77.3,261.8
Multifamily Housing,50.9,81.1,286.5
Multifamily Housing,38.3,80.8,289.1
Multifamily Housing,38.7,78,1422.3
Multifamily Housing,39.5,79.3,1249.2
Multifamily Housing,26.5,78.6,156.7
Senior Care Community,67.2,82.1,560.6
Multifamily Housing,46.2,83.6,686.2
Multifamily Housing,41.4,81.9,176.6
Multifamily Housing,52.7,84.2,270.1
Multifamily Housing,42.5,82.8,211.8
Residence Hall/Dormitory,25.4,79.7,772
Multifamily Housing,26.5,83.2,255.2
Multifamily Housing,42.3,83.1,698.3
Multifamily Housing,35.3,83.9,1170.9
Multifamily Housing,34.5,85.8,420.5
Multifamily Housing,53.2,84.9,3577.6
Multifamily Housing,56.4,85.1,370.3
Multifamily Housing,27.1,85.1,216.4
Office,27.1,85.1,192.3
Multifamily Housing,36.2,84.5,928.9
Residence Hall/Dormitory,27.6,86.6,438.9
Multifamily Housing,56.4,89.1,1093.7
Multifamily Housing,53.2,88.4,236.9
Multifamily Housing,56.4,89,298.5
Multifamily Housing,33.3,88.6,440.5
Multifamily Housing,74.9,90.8,413.2
Multifamily Housing,60.2,87.7,202
Multifamily Housing,47.6,87.8,271
Multifamily Housing,66.5,90.2,309
Multifamily Housing,59.8,83.9,243.4
Multifamily Housing,32.9,91,561.1
Multifamily Housing,53.4,93.2,280.5
Multifamily Housing,67.2,89.7,209.7
Multifamily Housing,38.2,90.8,689.1
Multifamily Housing,29.5,91.3,1342.2
Residence Hall/Dormitory,52.9,93.4,223.8
Multifamily Housing,28.1,88.3,605.2
Multifamily Housing,29.2,91.7,877.1
Multifamily Housing,55.8,92,1014.3
Multifamily Housing,34.6,92.2,236.5
Multifamily Housing,52.6,91.9,1091.7
Multifamily Housing,63.3,95,293.8
Multifamily Housing,29.6,92.8,262.4
Multifamily Housing,56.4,93.4,293.6
Multifamily Housing,52.1,93.5,390.7
Multifamily Housing,60,94.9,255.4
Multifamily Housing,55.6,95.9,511.8
Multifamily Housing,38.6,95,616.5
Multifamily Housing,56,95.4,475.6
Multifamily Housing,33,96,283.2
Multifamily Housing,32.9,95.9,1206.2
Multifamily Housing,49.8,95.5,823.7
Multifamily Housing,29.6,93,331
Multifamily Housing,59.8,96.4,473.7
Multifamily Housing,41.2,93.9,333
Multifamily Housing,60.6,96.9,801.8
Multifamily Housing,48.3,94.5,316.3
Multifamily Housing,42.8,95.1,1649.4
Multifamily Housing,46.2,96.8,380.1
K-12 School,46.1,97.3,292.8
Residence Hall/Dormitory,42.8,95,190.4
Multifamily Housing,61.3,98.6,362.4
Multifamily Housing,39,99,905
Multifamily Housing,35.5,98.8,699.4
Multifamily Housing,37.7,99.4,1028.4
Multifamily Housing,68.9,100.5,284.4
Multifamily Housing,49.7,100.2,221.5
Multifamily Housing,60.9,100,390.4
Multifamily Housing,57,99.4,950.5
Multifamily Housing,57.2,100.3,210.6
Multifamily Housing,47.9,102.6,586.2
Multifamily Housing,64.7,102.1,887
Multifamily Housing,32.3,101.5,202.1
Multifamily Housing,38.8,102.6,1396.1
Multifamily Housing,72.5,104.1,351
Hotel,56.3,100.1,1245.8
Multifamily Housing,55.1,101.9,1111.7
Multifamily Housing,71.3,104.3,366.7
Multifamily Housing,33.2,102.2,509.9
Multifamily Housing,51.4,101.8,655.8
Multifamily Housing,54.4,101,291.9
Multifamily Housing,57.4,100.9,294.2
Multifamily Housing,65.9,103.5,261.3
Multifamily Housing,55.3,102.5,108.3
Multifamily Housing,70.7,104.6,303.2
Multifamily Housing,51,104,369.3
Multifamily Housing,65.6,104.5,265.9
Multifamily Housing,40,105.2,580.3
Office,32.7,102.7,254.9
Office,33.6,105.5,1596.2
Multifamily Housing,72.3,107.1,814.5
Retail Store,33.4,105,1055.8
Multifamily Housing,63,106.6,284.5
Multifamily Housing,66.9,106.2,487.4
Multifamily Housing,48.9,104.2,538.5
Multifamily Housing,40.8,107.8,544.5
Office,46.6,106.3,214.8
Multifamily Housing,37.3,108.3,358
Multifamily Housing,36,109.3,267.3
Multifamily Housing,69.6,109.7,558.4
Multifamily Housing,63.2,108.6,126.7
Multifamily Housing,70,112.3,477.3
Multifamily Housing,43.9,109.3,401.7
Multifamily Housing,73.7,112.9,440.4
K-12 School,47.2,109.3,339.1
Multifamily Housing,77.8,113.3,449.2
Multifamily Housing,63.3,109.2,649.3
Multifamily Housing,63.5,114,390.2
Multifamily Housing,73.7,116.1,2183.3
Multifamily Housing,64.1,112.8,476
Multifamily Housing,54.3,115.3,318.4
Multifamily Housing,41.8,112.7,620.9
Multifamily Housing,63.2,111.7,847.3
Multifamily Housing,36.2,113.8,467.1
Multifamily Housing,49.5,114.6,927.7
Multifamily Housing,61.5,112.4,659.6
Multifamily Housing,35,110,327.6
Multifamily Housing,36.4,114.3,245.7
Multifamily Housing,46.8,112.4,1204.5
Multifamily Housing,66.4,117.2,311.1
Office,47.2,116,423.7
Hotel,54.9,111.9,633.6
Multifamily Housing,59.6,115.4,301.2
Multifamily Housing,63.5,117.3,317.4
Multifamily Housing,37.1,116.5,1636.1
Multifamily Housing,83.7,118.9,363.4
Multifamily Housing,66,115.6,508.6
Office,37.3,117.3,1021
Multifamily Housing,77.6,118.4,320.3
Multifamily Housing,57.6,118.7,884.6
Multifamily Housing,76.6,118.8,317.8
Multifamily Housing,79.7,118.5,379.8
Office,37.5,117.9,508.9
Office,46.1,116.9,393.3
Multifamily Housing,59.5,119.3,1066.2
Multifamily Housing,60.1,117.8,466.6
Multifamily Housing,75.9,120.8,689.9
Multifamily Housing,71.9,117.7,643.1
Residence Hall/Dormitory,61.1,117.6,330
Office,40.7,117.8,946.1
Multifamily Housing,71.6,119.6,662.9
Worship Facility,61.9,118.4,518.9
Multifamily Housing,67.1,118.5,357.2
Multifamily Housing,77.1,121.1,367.4
Multifamily Housing,68.8,119.8,2318.8
Multifamily Housing,52.9,121.3,697.9
Multifamily Housing,36.9,115.7,368.1
Multifamily Housing,76.2,120,567.1
Multifamily Housing,63.4,117.9,1755.9
Multifamily Housing,75.5,120.7,260.7
Multifamily Housing,73.3,120.9,335.6
Residence Hall/Dormitory,62.3,121.8,459
Residence Hall/Dormitory,48.3,120.2,1037.8
Multifamily Housing,40.1,120.7,1122
Office,45.5,119.8,731.3
Multifamily Housing,73.7,119,288.2
Multifamily Housing,38.5,120.9,1325.1
Office,48.8,120.6,1045.2
Multifamily Housing,74.9,121.7,379.5
Multifamily Housing,40.5,121.6,1190.8
Multifamily Housing,38.8,121.8,580
Multifamily Housing,82.5,123.4,296.8
Multifamily Housing,43.1,122.4,677.6
Multifamily Housing,68.7,119,490
Multifamily Housing,74.1,121.3,2370.8
Multifamily Housing,69.2,122.9,1617.4
Multifamily Housing,74.6,121,829
Multifamily Housing,85.8,125.7,690.2
Multifamily Housing,74.5,123.2,486.5
Office,39.3,123.3,1696.1
Office,43.4,123.5,372.4
Multifamily Housing,71.4,123.6,932.9
Multifamily Housing,77.1,123.5,575.9
Multifamily Housing,75.4,123.7,486.3
Office,42.3,121.6,1943
Multifamily Housing,76.3,123.4,417.9
Multifamily Housing,39.5,124.2,457.6
Office,49.4,125.1,441.9
Multifamily Housing,99.8,128.5,290
Multifamily Housing,88.3,128.1,457.6
Multifamily Housing,68.9,127.3,1000.3
Multifamily Housing,80.9,126.2,380.6
Multifamily Housing,93,127.6,310.2
Multifamily Housing,70.2,125.1,565.9
Multifamily Housing,68,128,398.9
Multifamily Housing,50.2,126.5,1330.2
Multifamily Housing,83.2,126.9,309.7
Multifamily Housing,55.9,127.4,1122.9
Office,51.1,126.4,1318.5
Multifamily Housing,66.4,126.3,920.6
Multifamily Housing,90.5,130.7,469.7
Multifamily Housing,70.9,127,640.6
Multifamily Housing,69.8,125.8,2890.6
Multifamily Housing,102.9,132.1,918.3
Multifamily Housing,75.6,128.6,328.9
Multifamily Housing,43.7,128.5,1213.3
Office,44.2,125.8,379.4
Multifamily Housing,71.8,128.7,1268.9
Multifamily Housing,87.4,125.3,409.5
Multifamily Housing,89,129.3,349.6
Multifamily Housing,69.4,129.1,2654.9
Multifamily Housing,47.3,130.3,276
Office,40.2,126.3,250.1
Multifamily Housing,73,129.7,1284.7
Office,51.4,130.9,391.3
Multifamily Housing,78.8,130.7,904.9
Multifamily Housing,69.9,131.1,1872.6
Office,47,131.7,1785.8
Office,42.2,131.9,2595.5
Office,70.3,132.1,1260.5
K-12 School,65.7,131.2,446.4
Multifamily Housing,74,131.2,447.7
Office,56.7,132.6,347.9
Residence Hall/Dormitory,88.1,135.9,413.6
Multifamily Housing,77.2,133.7,342.2
Multifamily Housing,42.7,134.2,919.1
Multifamily Housing,45.7,134.7,1765.3
Office,44.2,135.3,1588.6
Office,51.6,135.1,559.6
Multifamily Housing,55.2,135.8,1056.9
Non-Refrigerated Warehouse,71,139.3,1151.2
Multifamily Housing,75.6,135,1701.9
Multifamily Housing,75.8,133.7,675.6
Multifamily Housing,74.8,138.2,530.8
Office,43.3,135.9,1722.1
Office,44.5,133.9,1481.3
Multifamily Housing,73.3,136.9,376.4
Office,42.9,134.6,1767.2
Multifamily Housing,93.4,139,971.9
Office,43,135,746.3
Multifamily Housing,89.5,134.3,331.3
Office,46.8,137.4,2595.1
Office,43.8,137.5,772.1
Multifamily Housing,77.3,138.2,288.5
Residence Hall/Dormitory,59.5,139.7,379.2
Office,54.7,137.7,424.2
Multifamily Housing,51.9,139.4,588.7
Multifamily Housing,82.8,137.5,3171.7
Hotel,61.9,139.8,553.7
Hotel,70.3,138,702.5
Multifamily Housing,85.1,139.8,429.5
Multifamily Housing,83.9,142.5,916.3
K-12 School,54.8,136.5,572.4
Office,44.8,140.5,320.6
Office,61.8,141.9,354.9
Multifamily Housing,70.7,139.8,417.1
Office,53.6,140.1,1178.5
Office,45,141.2,1195.6
Multifamily Housing,45,141.2,517.1
Hotel,57.5,141.6,299.8
Residence Hall/Dormitory,81.1,142.2,352.1
Office,45.3,142.4,1010.3
Multifamily Housing,78.8,141.8,328.7
Residence Hall/Dormitory,69,143.8,734.9
Office,45.3,142.1,443
Hotel,62,143.1,469.1
Office,45.2,141.9,1069.4
Worship Facility,64.8,144.4,381.8
Office,45.8,143.8,1276.1
Office,45.8,143.8,766.9
Office,46,144.3,3184.8
Office,46,144.5,1880.4
Office,48.2,143.8,1846.8
Residence Hall/Dormitory,64.4,146.2,400.9
Multifamily Housing,85.4,144.1,390.7
Office,46.3,145.2,1854.8
Multifamily Housing,59.9,145.6,589.5
Hotel,64.5,145.6,566.1
Hotel,60.6,145.6,670.2
Multifamily Housing,64.3,146.8,300.8
Multifamily Housing,68.3,142.5,326.6
Office,45.9,144,1135.1
Multifamily Housing,74.8,145.6,1038.5
Office,46.7,146.7,2289.9
Multifamily Housing,80.9,146.1,6024.4
Multifamily Housing,59.9,133,2714.7
Multifamily Housing,82.7,144.3,510
Office,46.3,145.5,668.5
Office,52.6,147.3,958.1
Multifamily Housing,83.6,151,525.8
Office,47,147.5,7249.8
Multifamily Housing,87.7,146.5,536.1
Office,46.4,145.8,1249.2
Office,47.5,149.3,2214.5
Office,47.6,149.6,4020.6
Office,47.3,148.2,658
Multifamily Housing,120.1,154.8,452.8
Multifamily Housing,65.9,150.9,428.7
Multifamily Housing,59.3,151.9,1565.4
Multifamily Housing,85.5,151.1,704.1
Residence Hall/Dormitory,90.3,153.3,392.3
Multifamily Housing,74.4,151.8,694.9
Office,47.9,150.4,1885.3
Multifamily Housing,82.3,151.1,654.6
Multifamily Housing,80.5,151.2,394.4
Office,53.1,151.3,589.1
Multifamily Housing,97.5,155,875.4
Multifamily Housing,84.4,154.6,1312.1
Multifamily Housing,87.1,155.3,1955.1
Office,54.8,151.4,822.2
Multifamily Housing,86.2,156.3,461.8
Office,50.8,154.3,1918.6
Office,49.1,154.1,1399.3
Multifamily Housing,49.1,154.2,485.5
Multifamily Housing,87.2,152.6,1086.8
Office,61.1,153.6,648.2
Office,49.2,154.6,617.3
Office,49,153.9,1058.9
Office,64.2,153.6,1556.9
Multifamily Housing,50.7,159.1,503.3
Multifamily Housing,85.7,151.9,428.7
Multifamily Housing,94.4,158.1,2267.5
Multifamily Housing,79.3,154.2,493.9
Office,48.9,153.1,3297.5
Residence Hall/Dormitory,63,154.7,841.8
Office,49.7,156,2044.4
Residence Hall/Dormitory,68.7,154.9,3512.5
Multifamily Housing,89.4,155.2,979.9
Multifamily Housing,62.2,157.1,1495.5
Office,64.6,157.3,2543.3
Residence Hall/Dormitory,68.1,155.7,972.4
Office,51.8,156.9,353.9
Office,50,157,1446.4
Office,49.6,155.9,1668.2
Office,49.6,155.7,330.4
Office,58.2,157.8,441.6
Office,50.3,157.8,720.4
Office,50.3,157.9,1338.2
Multifamily Housing,86.8,157.5,2497.3
Office,50.3,158,556.4
Multifamily Housing,82,160.2,1455
Office,56.6,158.5,2970.1
Multifamily Housing,81.4,157.1,937.3
Multifamily Housing,96.2,157.9,1482.7
Office,50.6,158.8,868.6
Office,50.5,158.4,2123.2
Multifamily Housing,73.1,156.9,352.2
Office,50.8,159.5,522
Worship Facility,52.3,159.1,295.7
Office,60.3,160.4,454.3
Office,51.1,160.6,1643.4
Office,53.6,161.3,715.9
Office,74.2,163.2,732.2
Office,50.8,159.4,1049
Multifamily Housing,100,159.6,345.9
Office,51.4,161.5,1804.5
Hotel,73.2,160.4,625.4
Office,51.5,161.8,2572.8
Office,50.7,159.3,1992.2
Office,63.9,160.6,1005.9
Office,52.3,164.4,790.4
Multifamily Housing,100.2,161.4,2863.4
K-12 School,66,160.4,521.2
Office,60.7,163.3,4524.2
Office,65,164.5,2208.4
Multifamily Housing,86.9,164.3,315.3
Multifamily Housing,85.9,163.1,689.9
Office,52,163.4,645.7
Office,62,157.9,1167.2
Office,80,163.3,803.4
Office,52.2,164,4611.3
Office,57.1,161.6,2171.3
Office,51.1,159.6,932.3
Multifamily Housing,52.3,164.3,480
Multifamily Housing,86,165.3,2117.6
Office,53.5,164.7,2427.3
Office,52.5,164.8,361.1
Office,52.5,164.9,2540.4
Multifamily Housing,129.7,170.2,180.6
Office,52.5,165,1134.3
Hotel,52.3,164.1,460.1
Office,52.2,164,3777
Office,52.9,166.2,2371.4
Office,52.9,166.2,1159.2
Office,53,166.3,375.6
Office,52.6,165.2,798.2
Multifamily Housing,73.5,167.8,1129.7
Non-Refrigerated Warehouse,86.7,170.5,466.3
Retail Store,58.1,165.9,2765.7
Office,72.5,165.8,729.6
Office,75,166.7,339.7
Office,53.2,167.2,8285
Office,61.1,166.1,9950.1
Office,53.1,166.7,2712.1
Office,71.2,168.9,534.1
Multifamily Housing,100.7,169.9,982
Office,53.3,167.4,3648.1
Office,53.5,168.1,3778.1
Office,54.3,170.6,1107.2
Hotel,95.7,168.9,806.1
Multifamily Housing,127.4,174.1,910.6
Office,61.7,168.8,1461
Office,62.4,169.1,2024.8
Office,67.2,169.7,1642.3
Office,56.6,168,1365.8
Office,66.7,167.3,442.3
Distribution Center,75.2,170.3,572.9
Multifamily Housing,52.4,164.6,441.2
Office,54.3,170.4,340.5
Multifamily Housing,72.2,168.5,386
Office,67.9,171.1,1411
Residence Hall/Dormitory,73.8,168.9,463.6
Multifamily Housing,90.8,169,661.9
Office,71.5,171.5,892.3
Office,67.3,171.5,1279.4
Office,54.9,172.5,742.7
Office,60.2,172.9,2411.2
Office,70.1,172.7,1205.2
Office,70.4,171.8,728.5
Office,53.4,167.7,563.6
Office,55.1,173.2,1461.9
Office,80,174.5,558.1
Office,55.3,173.7,1493.3
Multifamily Housing,110.7,175.8,437.3
Office,54.6,171.3,1469.4
Office,55.9,175.2,2011.6
Multifamily Housing,95.5,175.2,1408.2
Office,56.3,176.1,1169
Office,71.2,173.6,1129.8
Office,55.9,175.6,1331.9
Office,55.9,175.7,1186.8
Multifamily Housing,119,178.3,986.6
Multifamily Housing,102.7,174.9,482.9
Office,60.4,175.3,2239.8
Office,55.3,173.5,1337.3
